,Restaurant Name,Ratings,Address,Contact Number
0,Bhairodev Food Corner,3.5,"Shop No-J-33, Lajpat Nagar 2, Delhi - 110024",07947228700
1,Radhey Krishna Cholay Bhatu..,4.0,"289, A.G.C.R Enclave, Karkardooma, Delhi - 110092, Near Easy Day",07947213993
2,Singlas,4.1,"50 N.W.A, Club Road, Punjabi Bagh, Delhi - 110026",07947229511
3,Apni Rasoi,3.9,"G 7/188, 16-17 Dividing Road, Rohini Sector 16, Delhi - 110089",'+(91)-9152597215
4,Happy Tummy,3.9,"G-8,9,10 Plot No.1 United Plaza, Karkardooma, Delhi - 110092",07947225912
5,Papa Veg Chinese Food,4.1,"Shop Number 15, A 2, Dda Market, Paschim Vihar, Delhi - 110063, Near Indraprastha World School",'+(91)-8447331396
6,Shanus The Food Shop,3.9,"Shop Number 3, C 8 Dda Market, Keshav Puram, Delhi - 110035, Near Keshav Puram Metro Station",07947219587
7,Apki Rasoai,4.0,"B-84 Dda Market C Block, East Of Kailash, Delhi - 110065",07947238311
8,New Punjabi Dhaba & Caterer..,4.1,"Number Wz 1593, Main Market, Gali Punjabi Dhabe Wali, Rani Bagh, Delhi - 110034",07947212997
9,Madan Sweets & Restaurant,4.1,"Third K 23, Rakesh Marg, Nehru Nagar, Delhi - 110065",07947212173
10,Anand Vaishno Dhaba,4.0,"C-81/3, Main Wazirabad Road, Bhajan Pura, Delhi - 110053, Near Bhajanpura Bus Stand",'+(91)-8586829402
11,The Sanjha Chulha Unique Ta..,4.9,"Shop No-6 WZ-55, Jawala Heri Market, Paschim Vihar, Delhi - 110063, Near S.B.I ATM",07947239918
12,Swami Ji Shakti Sagar,4.2,"Rz- 132,, Rajapuri Road, Uttam Nagar, Delhi - 110059, Near Sunil Dairy, Santosh Park",07947219131
13,Apni Rasoi,4.0,"A 2 Ganesh Nagar Nr Mother Dairy, Ganesh Nagar, Delhi - 110092",'+(91)-8860522701
14,Raj Take Away & Family Rest..,4.5,"Shop No 1, Main Matiala Road, Matiala, Delhi - 110059, Near Hari Krishna Grand Banquet",07947227437
