Restaurant Name,Ratings,Address,Contact Number
Bhairodev Food Corner,3.5,"Shop No-J-33, Lajpat Nagar 2, Delhi - 110024","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-wx,mobilesv icon-lk,mobilesv icon-nm,mobilesv icon-acb,mobilesv icon-acb"
Radhey Krishna Cholay Bhatu..,4.0,"289, A.G.C.R Enclave, Karkardooma, Delhi - 110092, Near Easy Day","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-vu,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-vu"
Singlas,4.1,"50 N.W.A, Club Road, Punjabi Bagh, Delhi - 110026","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-wx,mobilesv icon-ji,mobilesv icon-rq,mobilesv icon-yz,mobilesv icon-yz"
Apni Rasoi,3.9,"G 7/188, 16-17 Dividing Road, Rohini Sector 16, Delhi - 110089","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-rq,mobilesv icon-wx,mobilesv icon-rq,mobilesv icon-ji,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-rq"
Happy Tummy,3.9,"G-8,9,10 Plot No.1 United Plaza, Karkardooma, Delhi - 110092","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-wx,mobilesv icon-rq,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-wx"
Papa Veg Chinese Food,4.1,"Shop Number 15, A 2, Dda Market, Paschim Vihar, Delhi - 110063, Near Indraprastha World School","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-lk,mobilesv icon-ts,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-yz,mobilesv icon-vu,mobilesv icon-ji,mobilesv icon-po"
Shanus The Food Shop,3.9,"Shop Number 3, C 8 Dda Market, Keshav Puram, Delhi - 110035, Near Keshav Puram Metro Station","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-ji,mobilesv icon-rq,mobilesv icon-lk,mobilesv icon-nm"
Apki Rasoai,4.0,"B-84 Dda Market C Block, East Of Kailash, Delhi - 110065","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-lk,mobilesv icon-vu,mobilesv icon-yz,mobilesv icon-yz"
New Punjabi Dhaba & Caterer..,4.1,"Number Wz 1593, Main Market, Gali Punjabi Dhabe Wali, Rani Bagh, Delhi - 110034","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-nm"
Madan Sweets & Restaurant,4.1,"Third K 23, Rakesh Marg, Nehru Nagar, Delhi - 110065","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-nm,mobilesv icon-vu"
Anand Vaishno Dhaba,4.0,"C-81/3, Main Wazirabad Road, Bhajan Pura, Delhi - 110053, Near Bhajanpura Bus Stand","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-lk,mobilesv icon-rq,mobilesv icon-lk,mobilesv icon-po,mobilesv icon-lk,mobilesv icon-wx,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-acb,mobilesv icon-wx"
The Sanjha Chulha Unique Ta..,4.9,"Shop No-6 WZ-55, Jawala Heri Market, Paschim Vihar, Delhi - 110063, Near S.B.I ATM","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-lk"
Swami Ji Shakti Sagar,4.2,"Rz- 132,, Rajapuri Road, Uttam Nagar, Delhi - 110059, Near Sunil Dairy, Santosh Park","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-vu,mobilesv icon-yz"
